| #  | ชื่อ (วัฒนธรรม) | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|----|------------------|--------|----------|-----:|-----|--------|-------|-------|--------:|---------|----------------|-------------|-------------|---------------|
| 1  | Li Wei (จีน) | พ่อค้าผ้าไหม | เจ้าของแผง "เกล็ดมังกร" (Jade Pavilion) | 46 | ชาย | ผมมวยเล็ก | ดำ | เหลือง | 5'7" | ผอม | ชุดพ่อค้าผ้าไหมอย่างดี | - | เจ้าเล่ห์, เก็บความลับ | Xianlong |
| 2  | Hanae (ญี่ปุ่น) | ผู้ชงชา (Tea Master) | ผู้ดูแลบ่อน้ำชา "จักรพรรดิ์" | 52 | หญิง | เกล้ามวยเรียบร้อย | ดำเงา | เหลือง | 5'2" | หุ่นดี | ชุดชงชาพิธี | Small | สุภาพ, ละเอียดละออ | Xianlong |
| 3  | Marco (ละติน) | พ่อค้าหยก | ตัวแทนขายหยกนำเข้า | 39 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | หุ่นดี | เสื้อผ้าผ้าลายจีน-ตะวันตก | - | มองการณ์ไกล, เจรจาดี | Xianlong |
| 4  | Anya (รัสเซีย) | ศิลปินลวดลายเคลือบ | หัวหน้าช่างเครื่องลายคราม | 48 | หญิง | ผมมวยสูง | บลอนด์หม่น | ขาว | 5'5" | อวบ | ชุดช่างประณีต | Large | เคร่งครัด, ภูมิฐาน | Xianlong |
| 5  | Kyung (เกาหลี) | นักคัดใบชา | หัวหน้าคัดใบชาพระราชสำนัก | 34 | ชาย | ผมมัดท้าย | ดำ | เหลือง | 5'8" | หุ่นดี | เสื้อแรงงานสวมผ้าคราม | - | ขยัน, ซื่อสัตย์ | Xianlong |
| 6  | Sofia (กรีก) | ผู้คุมตลาด | ผู้ดูแลโซนกลาง Jade Pavilion Market | 41 | หญิง | ผมบ๊อบลอน | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดผู้บริหารตลาด | Medium | รอบคอบ, จริงจัง | Xianlong |
| 7  | Akio (ญี่ปุ่น) | นักจารึกตำรา | ผู้จดบันทึกตำราโบราณ (Imperial Archive) | 60 | ชาย | ผมเกล้าต่ำ | ดำ | เหลือง | 5'6" | ผอม | เสื้อห่มนักวิชาการ | - | ใจเย็น, รักความรู้ | Xianlong |
| 8  | Isabella (ละติน) | นักจัดของขวัญ | ผู้จัดของขวัญสำหรับขุนนาง | 37 | หญิง | ผมลอนยาว | น้ำตาลแดง | ขาว | 5'4" | หุ่นดี | ชุดหรูมีผ้าไหม | Medium | สังเกตดี, ช่างเลือก | Xianlong |
| 9  | Pavel (รัสเซีย) | คนขนส่งผ้าไหม | หัวหน้ารถเกวียนส่งผ้า | 45 | ชาย | หนวดสั้น | ดำหม่น | ขาวซีด | 5'10" | มีกล้ามเล็กน้อย | เสื้อกะลาสีทนฝน | - | อดทน, พูดตรง | Xianlong |
| 10 | Mei (จีน) | ช่างทอผ้าไหม | หัวหน้าช่างทอ (Guild Silkworks) | 29 | หญิง | ผมหางม้าเรียบ | ดำเงา | เหลือง | 5'3" | ผอม | ผ้ากันเปื้อนช่างไหม | Small | พิถีพิถัน, ขยัน | Xianlong |
| 11 | Lucius (โรมันแฟนตาซี) | นักแลกเปลี่ยนสินค้า | นายหน้าไม้เก่าและเครื่องเทศ | 50 | ชาย | ผมเรียบ | เทาเข้ม | ขาว | 5'11" | ผอม | เสื้อพ่อค้าเดินทาง | - | เจ้าเล่ห์, ช่างต่อรอง | Xianlong |
| 12 | Yara (แฟนตาซี) | หมอสมุนไพร | ผู้จัดสมุนไพรจักรพรรดิ | 56 | หญิง | ผมห่อมวย | ขาวเทา | ขาวอมเหลือง | 5'4" | อวบ | ชุดยาโบราณ | Large | ใจดี, รู้จักสมุนไพร | Xianlong |
| 13 | Haruto (ญี่ปุ่น) | ช่างทำตรา | ประทับตรายันต์และผนึก | 33 | ชาย | ผมสั้นเรียบ | ดำ | เหลือง | 5'7" | ผอม | เสื้อช่างตัวเล็ก | - | รักษากฎ, ใจเย็น | Xianlong |
| 14 | Elena (กรีก-จีนผสม) | เจ้าของบ้านรับรอง | Host บ้านรับรองชนชั้นกลาง | 42 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'5" | หุ่นดี | ชุดต้อนรับแบบราชสำนัก | Medium | สุภาพ, เจรจาดี | Xianlong |
| 15 | Dmitri (รัสเซีย) | เจ้าหน้าที่ศุลกากร | ตรวจสินค้านำเข้า (Gate Office) | 49 | ชาย | หัวเกรียนมีเครา | เทา | ขาวซีด | 5'11" | มีกล้ามเล็กน้อย | เครื่องแบบศุลกากร | - | เข้มงวด, นิรนัย | Xianlong |
| 16 | Lian (จีน) | ช่างแกะหยก | หัวหน้าช่างหยก (Jade Carver) | 38 | หญิง | ผมหยักยาว | ดำเงา | เหลือง | 5'4" | หุ่นดี | เสื้อผ้าช่างลายมังกร | Medium | พิถีพิถัน, เงียบขรึม | Xianlong |
| 17 | Maria (ละติน) | พนักงานประมูล | ผู้จัดประมูลของขุนนาง | 44 | หญิง | มวยต่ำเรียบ | น้ำตาลเข้ม | ขาว | 5'6" | หุ่นดี | ชุดพิธีประมูล | Large | โน้มน้าว, แข็งแกร่งทางวาจา | Xianlong |
| 18 | Chen (จีน) | ผู้ตรวจคุณภาพผ้า | ตรวจคัดผ้าไหมก่อนส่งราชสำนัก | 35 | ชาย | ผมหวีเรียบ | ดำ | เหลือง | 5'8" | ผอม | เสื้อช่างผ้าที่สะอาด | - | พิถีพิถัน, รักมาตรฐาน | Xianlong |
| 19 | Akira (ญี่ปุ่น) | ผู้ตัดชุดพิธี | ช่างตัดชุดสำหรับขุนนาง | 31 | หญิง | ผมบ๊อบเรียบ | ดำ | เหลือง | 5'3" | ผอม | ชุดตัดเย็บงาม | Small | ประณีต, มีรสนิยม | Xianlong |
| 20 | Katarina (รัสเซีย) | นักเขียนตำรา | คัดลอกตำราโบราณ (scribe) | 58 | หญิง | ผมเกล้ามวย | ขาวหม่น | ขาว | 5'4" | อวบ | เสื้อห่มนักวิชาการ | Large | ใจเย็น, รู้ลึก | Xianlong |
| 21 | Paolo (ละติน) | พ่อค้าผ้าไหมส่งออก | ตัวแทนส่งออกไปต่างแดน | 47 | ชาย | หนวดบาง | น้ำตาลเข้ม | ขาว | 5'9" | หุ่นดี | เสื้อเดินทางผ้าแพร | - | เจรจาเก่ง, ช่างเสน่หา | Xianlong |
| 22 | Sora (ญี่ปุ่น) | เด็กเสิร์ฟชากลางตลาด | ร้านชาใน Jade Pavilion | 19 | หญิง | ผมหางม้าเตี้ย | ดำ | เหลือง | 5'1" | Tiny | ชุดเสิร์ฟพื้นเมือง | Tiny | ร่าเริง, ว่องไว | Xianlong |
| 23 | Leon (กรีก) | ช่างลายคราม | ผู้ลงสีและเผาเครื่องลายคราม | 36 | ชาย | ผมสั้นเรียบ | น้ำตาลเข้ม | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างเผา | - | ใจเย็น, เชี่ยวชาญ | Xianlong |
| 24 | Nari (เกาหลี) | ผู้ประสานของขวัญ | นัดหมายส่งของขวัญราชสำนัก | 33 | หญิง | ผมยาวตรง | ดำเงา | เหลือง | 5'3" | ผอม | ชุดข้าราชการกลาง | Small | ระมัดระวัง, ซื่อสัตย์ | Xianlong |
| 25 | Dimitra (กรีก) | นักปรุงเครื่องเทศ | เจ้าของแผงเครื่องเทศหายาก | 40 | หญิง | ผมหยักลอน | น้ำตาลทอง | ขาว | 5'5" | หุ่นดี | ชุดแผงหรู | Medium | เป็นมิตร, สนุกสนาน | Xianlong |
| 26 | Igor (รัสเซีย) | คนขับเกวียนม้าศึก | ผู้ควบคุมขบวนม้าศึกนำเข้า | 50 | ชาย | หนวดเคราสั้น | เทา | ขาว | 5'11" | มีกล้าม | เสื้อป้องกันการเดินทาง | - | ระมัดระวัง, สุภาพ | Xianlong |
| 27 | Mei-Lin (จีน) | เจ้าของโรงเตาเครื่องลายคราม | หัวหน้าเตาเผา (Porcelain kilns) | 54 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'2" | อวบ | ชุดช่างแบบราชสำนัก | Large | ภูมิฐาน, เจ้าร้าน | Xianlong |
| 28 | Rafael (ละติน) | พ่อค้าเครื่องเทศ | ผู้ค้าส่งเครื่องเทศไปยังท่าเรือ | 38 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อผ้าพ่อค้า | - | เจ้าเล่ห์, กระตือรือร้น | Xianlong |
| 29 | Svitlana (รัสเซีย) | ช่างเย็บผ้าไหม | ช่างตัดชุดราชสำนัก | 42 | หญิง | ผมเกล้ามวย | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดตัดชุดหรู | Medium | พิถีพิถัน, เชื่อถือได้ | Xianlong |
| 30 | Jun (จีน) | ผู้คุมประตูมังกรคราม | หัวหน้าประตูทิศตะวันออก | 55 | ชาย | ผมเกรียนเรียบ | ดำหม่น | เหลือง | 5'9" | มีกล้ามเล็กน้อย | ชุดยามประตู | - | จริงจัง, จงรักภักดี | Xianlong |
| 31 | Aiko (ญี่ปุ่น) | ผู้ทำยันต์ | ช่างวาดยันต์ป้องกัน | 36 | หญิง | ผมบ๊อบประดับผ้าซับ | ดำ | เหลือง | 5'2" | ผอม | ชุดช่างยันต์ | Small | ลึกลับ, รอบคอบ | Xianlong |
| 32 | Helena (กรีก) | นักจิตวิทยาขุนนาง | ที่ปรึกษาจิตใจขุนนาง | 49 | หญิง | ผมหยักข้างหนึ่ง | น้ำตาลทอง | ขาว | 5'7" | หุ่นดี | ชุดที่ปรึกษาหรู | Large | สุภาพ, มีไหวพริบ | Xianlong |
| 33 | Chenxi (จีน) | พนักงานคัดหยก | ผู้คัดคุณภาพหยกส่งราชสำนัก | 28 | หญิง | ผมหางม้าเรียบ | ดำเงา | เหลือง | 5'3" | ผอม | ชุดพนักงานหยก | Small | ตาไวยิ่ง, พิถีพิถัน | Xianlong |
| 34 | Marco (โรมัน) | นักชั่งทอง | เจ้าหน้าที่ชั่งมูลค่าสินค้าหรู | 60 | ชาย | ผมเทาเรียบ | เทา | ขาว | 5'10" | ผอม | เสื้อราชการชั่งสินค้า | - | เยือกเย็น, แม่นยำ | Xianlong |
| 35 | Yeo (เกาหลี) | พนักงานตลาดมืด (non-official) | คนกลางตลาดมืดใบชาเถื่อน | 31 | ชาย | ผมสั้นยุ่ง | ดำ | เหลือง | 5'8" | ผอม | เสื้อคลุมมืดเรียบ | - | เจ้าเล่ห์, ระมัดระวัง | Xianlong |
