| #  | ชื่อ (เชื้อชาติ/สไตล์) | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|----|-------------------------|--------|----------|-----:|-----|--------|-------|-------|--------:|---------|----------------|-------------|-------------|---------------|
| 1  | Marcus Valerius (ละติน) | พ่อค้าหินแกรนิต | เจ้าของแผง Ledge Quarry | 48 | ชาย | ผมสั้นหวีข้าง | เทาเข้ม | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อผ้าพ่อค้าเรียบ | - | จริงจัง, ช่างต่อรอง | Judicator's Rise |
| 2  | Helena Argos (กรีก) | เจ้าหน้าที่ชั่งน้ำหนัก | หัวหน้าลานตาชั่ง (Scales' Plaza) | 54 | หญิง | ผมห่อมวยสูง | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดข้าราชการลายเส้นแข็ง | Medium | เยือกเย็น, แม่นยำ | Judicator's Rise |
| 3  | Ivan Petrov (รัสเซีย) | ผู้คุมคลังเกลือ | ผู้จัดการ Salt Depot | 45 | ชาย | หนวดสั้น | ดำหม่น | ขาวซีด | 5'10" | หุ่นดี | เสื้อคลังหนัก | - | เคร่งครัด, เชื่อถือได้ | Judicator's Rise |
| 4  | Yumi Sato (ญี่ปุ่น) | เด็กเสิร์ฟห้องสมาคมทหาร | บริกรชงเครื่องดื่ม | 19 | หญิง | ผมหางม้า | ดำเงา | เหลืองอ่อน | 5'1" | Tiny | ชุดเสิร์ฟคลุมทึบ | Tiny | กระตือรือร้น, ว่องไว | Judicator's Rise |
| 5  | Liang Zhou (จีน) | ช่างตะไคร้หิน (stone mason) | ช่างใน Quarry Ledge | 39 | ชาย | ผมมัดหางม้า | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างหิน | - | พิถีพิถัน, อดทน | Judicator's Rise |
| 6  | Katarina Sokol (รัสเซีย) | บรรณารักษ์ศาลสูง | ผู้ดูแลเอกสารศาล (High Court) | 61 | หญิง | ผมห่อมวยเรียบ | เทา | ขาว | 5'4" | อวบ | ชุดห่มทางการ | Large | เงียบขรึม, รักกฎ | Judicator's Rise |
| 7  | Aelius Maro (กรีก) | นักกฎหมาย | เลขานุการคดีที่ High Court | 43 | ชาย | ผมหวีเรียบ | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อข้าราชการแข็ง | - | รอบคอบ, พูดจาเฉียบคม | Judicator's Rise |
| 8  | Rosa Delgado (สเปน/ละติน) | พ่อค้าสัตว์ลาก | เจ้าของฝูงสัตว์ลาก | 52 | หญิง | ผมห่มมวย | น้ำตาลแดง | ผิวสองสี | 5'5" | อวบ | เสื้อพ่อค้าหนา | Large | ใจดีต่อลูกจ้าง, จริงใจ | Judicator's Rise |
| 9  | Hiro Tanaka (ญี่ปุ่น) | ช่างทำเครื่องขวางน้ำตก | ช่างประจำ Waterfall Staircase | 37 | ชาย | ผมสั้นเรียบ | ดำ | เหลือง | 5'7" | ผอม | เสื้อช่างกันน้ำ | - | ใส่ใจความปลอดภัย, ประณีต | Judicator's Rise |
| 10 | Lucia Moreau (ยุโรปแฟนตาซี) | พนักงานประมูล | ผู้ประกาศประมูลสินค้าล็อตใหญ่ | 34 | หญิง | ผมบ๊อบ | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | ชุดประกาศเป็นทางการ | Medium | โน้มน้าว, แข็งแรงทางวาจา | Judicator's Rise |
| 11 | Pavel Orlov (รัสเซีย) | ผู้บันทึกการพิพากษา | จดคำตัดสินศาล | 50 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'10" | ผอม | เสื้อข้าราชการ | - | เยือกเย็น, ซื่อสัตย์ | Judicator's Rise |
| 12 | Mei Ling (จีน) | แม่ค้าเกลือ | แผงขายเกลือย่าน Scales' Plaza | 42 | หญิง | ผมห่อมวยต่ำ | ดำ | เหลือง | 5'3" | หุ่นดี | ผ้าคลุมพ่อค้าหนาทึบ | Medium | ขยัน, ช่างต่อรอง | Judicator's Rise |
| 13 | Antonius (ละตินโรมัน) | ผู้ดูแล The Titan's Hammer | หัวหน้าหล่ออาวุธ (non-combat admin) | 58 | ชาย | เคราสั้น | เทาเงิน | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อป้องกันหล่อโลหะ | - | เคร่งครัด, อำนาจนิยม | Judicator's Rise |
| 14 | Hana Kim (เกาหลี) | พนักงานทะเบียนแรงงาน | สำนักงานสัญญาจ้าง | 31 | หญิง | ผมหางม้าเรียบ | ดำ | เหลือง | 5'3" | ผอม | ชุดเจ้าหน้าที่ | Small | เป็นระบบ, แม่นยำ | Judicator's Rise |
| 15 | Gregor Ivan (รัสเซีย) | นายหน้าส่งออก | ประสานการส่ง Siege Weapons | 46 | ชาย | หัวเกรียน | เทาเข้ม | ขาว | 5'11" | หุ่นดี | เสื้อทนายหน้าพาณิชย์ | - | เจ้าเล่ห์, เชี่ยวชาญการค้า | Judicator's Rise |
| 16 | Aiko Fujii (ญี่ปุ่น) | ช่างเย็บผ้าสัญญา | ตัดผ้าบรรจุสำหรับทหาร | 29 | หญิง | ผมบ๊อบ | ดำ | เหลือง | 5'2" | ผอม | ชุดช่างเรียบ | Small | ประณีต, เงียบ | Judicator's Rise |
| 17 | Theodora (กรีก) | ผู้คุมคดีทางปกครอง | เลขานุการสภานิติบัญญัติ | 47 | หญิง | ผมมวยสูง | บลอนด์ | ขาว | 5'7" | หุ่นดี | ชุดสภาเป็นทางการ | Large | ยึดกฎ, จริงจัง | Judicator's Rise |
| 18 | Kenjiro (ญี่ปุ่น) | คนขับรถเกวียนหิน | หัวหน้าขนส่งหิน | 36 | ชาย | ผมมัดด้านหลัง | ดำ | เหลือง | 5'9" | มีกล้ามเล็กน้อย | เสื้อขับเกวียนหนา | - | อดทน, ซื่อสัตย์ | Judicator's Rise |
| 19 | Valeria (ละติน) | เจ้าของโรงซ่อมเครื่องจักร | ซ่อมเครื่องฉุดแม็กม่า | 53 | หญิง | ผมห่อมวย | น้ำตาลเข้ม | ขาว | 5'5" | อวบ | เสื้อช่างหนัก | Large | ตรงไปตรงมา, ชำนาญ | Judicator's Rise |
| 20 | Sun-woo (เกาหลี) | พนักงานคอกผู้ผิดคำสัตย์ | บันทึกผู้ถูกขายเป็นทาส (Oathbreaker's Pen admin) | 38 | ชาย | ผมสั้นสะอาด | ดำ | เหลือง | 5'8" | ผอม | ชุดผู้คุมคอก | - | เย็นชา, ปฏิบัติตามสั่ง | Judicator's Rise |
| 21 | Marcus Decimus (โรมัน) | นักบัญชีทัพ | บัญชีค่าส่งเสบียงกองทัพ | 41 | ชาย | ผมหวีเรียบ | น้ำตาลเข้ม | ขาว | 5'10" | ผอม | เสื้อบัญชีทางการ | - | ระมัดระวัง, แม่นยำ | Judicator's Rise |
| 22 | Irina Volkova (รัสเซีย) | พยาบาลคลินิกแรงงาน | คลินิก The Labor Churn (non-combat med) | 35 | หญิง | ผมห่มมวย | บลอนด์ | ขาว | 5'6" | หุ่นดี | ชุดพยาบาลเรียบ | Medium | อ่อนโยน, มืออาชีพ | Judicator's Rise |
| 23 | Jae-min (เกาหลี) | ผู้ฝึกสัตว์ลาก | หัวหน้าฝึกสัตว์ทำงาน | 49 | ชาย | ผมมัดหลวม | ดำ | เหลือง | 5'9" | มีกล้ามเล็กน้อย | เสื้อหนังทน | - | ใจดีต่อสัตว์, เข้มงวดฝึก | Judicator's Rise |
| 24 | Helena Rossi (อิตาลี) | เจ้าของโรงซักผ้า | บริการซักอาวุธและเครื่องแต่งกาย | 44 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'5" | หุ่นดี | ชุดทำงานหนา | Medium | ขยัน, เอาจริงเอาจัง | Judicator's Rise |
| 25 | Lucian Krios (กรีก) | นักประมวลคำสั่งกองทัพ | บันทึกคําสั่งที่ Gate of Judgment | 57 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'11" | ผอม | เครื่องแบบราชการ | - | เยือกเย็น, จงรักภักดี | Judicator's Rise |
| 26 | Meilin (จีน) | พ่อค้าข้าวสาร | แผงส่งอาหารล็อตใหญ่ใน Scales' Plaza | 39 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'3" | หุ่นดี | ผ้าคลุมพ่อค้า | Medium | เจรจาเก่ง, กล้าต่อรอง | Judicator's Rise |
| 27 | Darya (รัสเซีย) | ผู้คุมบ่อน้ำพุ | ดูแลระบบนํ้า Waterfall Staircase | 60 | หญิง | ผมหงอกปัด | ขาว | ขาว | 5'3" | อวบ | ชุดผู้ดูแลสาธารณะ | Large | เคร่งครัด, ห่วงใยชาวเมือง | Judicator's Rise |
| 28 | Paolo Ferraro (ละติน) | ช่างทำเชือกครอน | ผลิตเชือก/โซ่ยกของจาก Forge | 46 | ชาย | หนวดบาง | ดำ | ขาวเมดิเตอร์เรเนียน | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่าง | - | มืออาชีพ, ขยัน | Judicator's Rise |
| 29 | Akiko (ญี่ปุ่น) | หัตถศิลป์เครื่องหมาย | แกะสลักตราวินัยสำหรับศาล | 32 | หญิง | ผมบ๊อบเรียบ | ดำ | เหลือง | 5'2" | ผอม | ชุดช่างละเอียด | Small | ละเอียด, ภูมิฐาน | Judicator's Rise |
| 30 | Gregorius (กรีกโบราณ) | ผู้ประกาศข่าวราชการ | ประกาศคำพิพากษาหน้าศาล | 55 | ชาย | ผมปัดข้าง | เทาเข้ม | ขาว | 5'10" | ผอม | ชุดประกาศทางการ | - | เสียงหนักแน่น, จริงจัง | Judicator's Rise |
| 31 | Sora Mizuki (ญี่ปุ่น) | พนักงานเช็คคาบเอกสาร | รับ-ส่งเอกสารศาล | 24 | หญิง | ผมบ๊อบ | ดำ | เหลือง | 5'3" | ผอม | ชุดส่งเอกสาร | Small | ว่องไว, เป็นมิตร | Judicator's Rise |
| 32 | Alina Petrov (รัสเซีย) | เจ้าของร้านเครื่องครัวหิน | ขายเครื่องมือก่อสร้าง | 47 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'5" | อวบ | ชุดพ่อค้าแข็งแรง | Large | ใจดี, แข็งแรง | Judicator's Rise |
| 33 | Caius (โรมัน) | นักวิเคราะห์ราคาส่งออก | ประเมินมูลค่าล็อตส่งออก | 51 | ชาย | ผมหวีเรียบ | เทา | ขาว | 5'9" | ผอม | เสื้อสำนักงาน | - | รอบคอบ, แม่นยำ | Judicator's Rise |
| 34 | Lin (จีน) | เด็กเสิร์ฟแผงอาหารท่าเรือ | แผงอาหารใน Scales' Plaza | 18 | หญิง | ผมเปียคู่ | ดำ | เหลือง | 5'1" | Tiny | ชุดเสิร์ฟตลาด | Tiny | ร่าเริง, ว่องไว | Judicator's Rise |
| 35 | Viktor Orsik (ยุโรป) | เจ้าหน้าที่ตรวจแร่ | ตรวจคุณภาพหินทราย/แกรนิต | 58 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'11" | หุ่นดี | เสื้อห้องตรวจ | - | เคร่งครัด, ช่างสังเกต | Judicator's Rise |
| 36 | Hanae (ญี่ปุ่น) | พนักงานคลังอาวุธ | เก็บ-เบิกอาวุธขนาดใหญ่ | 29 | หญิง | เกล้ามวย | ดำ | เหลือง | 5'2" | ผอม | ชุดคลังทหาร | Small | ใจเย็น, มีระเบียบ | Judicator's Rise |
| 37 | Mateo Silva (ลาติน) | นายหน้าล็อตอาหาร | ประสานผู้ส่งอาหารให้กองทัพ | 41 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อพ่อค้า | - | เจ้าเล่ห์, มีเครือข่าย | Judicator's Rise |
| 38 | Ingrid Holm (นอร์ดิก/ยุโรป) | เจ้าหน้าที่สวัสดิการแรงงาน | ดูแลที่พัก Quarry Ledge | 50 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'6" | หุ่นดี | ชุดเจ้าหน้าที่สวัสดิการ | Large | เมตตา, เป็นระเบียบ | Judicator's Rise |
| 39 | Ryo (ญี่ปุ่น) | ช่างหล่อโลหะ | ประจำ The Titan's Hammer (ฝ่ายไม่รบ) | 35 | ชาย | ผมถอนสั้น | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อกันร้อนหล่อเหล็ก | - | ใฝ่รู้, มืออาชีพ | Judicator's Rise |
| 40 | Sofiya (รัสเซีย/กรีกผสม) | นักแปลเอกสาร | แปลเอกสารการค้าให้ชาวต่างชาติ | 38 | หญิง | ผมบ๊อบ | แดงเข้ม | ขาว | 5'5" | หุ่นดี | ชุดนักแปล | Medium | อดทน, รอบรู้ภาษา | Judicator's Rise |
| 41 | Dae-ho (เกาหลี) | ช่างซ่อมเครน | ดูแลเครน Great Geothermal Forge | 43 | ชาย | ผมสั้นสะอาด | ดำ | เหลือง | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างหนัก | - | รอบคอบ, กล้าตัดสินใจ | Judicator's Rise |
| 42 | Livia (โรมัน) | เจ้าหน้าที่ทะเบียนทาส | ลงทะเบียนทาสใน Oathbreaker's Pen (admin) | 36 | หญิง | ผมห่อมวยต่ำ | น้ำตาลอ่อน | ขาว | 5'4" | ผอม | ชุดเจ้าหน้าที่ราชการ | Small | เยือกเย็น, ปฏิบัติหน้าที่ | Judicator's Rise |
| 43 | Chen (จีน) | พนักงานขนส่งหิน | คนขับลำเลียงหินจาก Quarry | 30 | ชาย | ผมมัดท้าย | ดำ | เหลือง | 5'7" | มีกล้ามเล็กน้อย | เสื้อขนส่ง | - | ขยัน, แข็งแรง | Judicator's Rise |
| 44 | Natalia (รัสเซีย) | เจ้าของร้านยา "Stone Mortar" | พ่อค้ายาและสมุนไพรพื้นบ้าน | 49 | หญิง | ผมห่อมวย | บลอนด์ | ขาว | 5'5" | อวบ | ชุดร้านยา | Large | ใจดี, มีความรู้สมุนไพร | Judicator's Rise |
