| # | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมือง |
|---|------|--------|----------|------:|-----|--------|-------|-------|--------:|---------|----------------|-------------|-------------|-------|
| 1 | มาเรีย โนเวลลิ | พ่อค้าไหม | เจ้าของแผงผ้าไหม | 34 | หญิง | เกล้าต่ำเรียบ | ดำสนิท | ขาวโทนอบอุ่น | 5'6" | หุ่นดี | ชุดพ่อค้าผ้าลายวิจิตร | Medium | สุภาพ, เจรจาเก่ง | Ardinia |
| 2 | ฮวน เดลมาร์ | กัปตันเรือสินค้า (ไม่รบ) | หัวหน้าลำขนเรือ | 48 | ชาย | ผมสั้นหวีหลัง | เทา | ผิวแทน | 5'11" | มีกล้ามเนื้อ | เสื้อโค้ทกันน้ำท่าเรือ | - | จริงจัง, รักระเบียบ | Ardinia |
| 3 | เอลซ่า กองต์ | ธนาคาร | แคชเชียร์ธนาคารวาเลรอนเนส | 29 | หญิง | ผมบ๊อบตรง | น้ำตาลเข้ม | ขาวซีด | 5'4" | ผอม | เสื้อสูทกะทัดรัด | Small | ระมัดระวัง, รอบคอบ | Ardinia |
| 4 | โตมัส ฟิรอล | นายหน้าหุ้นกิลด์ | โบรกเกอร์ในจัตุรัสกงล้อกิลด์ | 41 | ชาย | ผมยาวมัดทวิน | น้ำตาลอ่อน | ผิวกลาง | 5'9" | หุ่นดี | เสื้อคลุมกิลด์, แว่นทองขอบบาง | - | เจ้าเล่ห์, ช่างคิด | Ardinia |
| 5 | ลูเซีย บาเร็ตติ | นักเขียนพิมพ์แผนที่ | แผนกแผนที่ของตลาด | 36 | หญิง | ผมหยักศีรษะกลาง | ดำปานกลาง | ขาว | 5'5" | ผอม | เสื้อช่างทำแผนที่, ผ้ากันเปื้อน | Medium | ใส่ใจรายละเอียด, ขี้สงสัย | Ardinia |
| 6 | กาเบรียล สเตรน | คนขับเรือคลอง | โกนอลิเอร์ (gondolier) | 27 | ชาย | ผมเปียยาวมัดหลวม | ดำ | ผิวคล้ำ | 5'8" | หุ่นดี | เสื้อเชิ้ตลาย, หมวกริ้ว | - | เฮฮา, ช่างคุย | Ardinia |
| 7 | มาเร็ค โบเดน | ช่างตีเหล็ก (non-combat) | ช่างฝีมือร้าน "ค้อนทองคำ" | 52 | ชาย | เกล้าหลังเรียบ | หงอก | ผิวแทนเข้ม | 5'7" | มีกล้ามเนื้อ | ผ้ากันเปื้อนหนัง, ถุงมือหนา | - | สุภาพ, ขยัน | Ardinia |
| 8 | เอเลน่า วัลเดส | เจ้าของโรงอาบน้ำสาธารณะ | ผู้จัดการ | 45 | หญิง | ผมมวยสูง | น้ำตาลเข้ม | ขาวโทนอุ่น | 5'7" | อวบ | ชุดบริการสะอาด, ผ้าคลุมไหล่ | Large | อ่อนโยน, ใจดีต่อคนจน | Ardinia |
| 9 | นิโคลัส รอมัน | พนักงานศุลกากร | เจ้าหน้าที่ตรวจสินค้านำเข้า | 39 | ชาย | ทรงทหารสั้น | เกาลัด | ขาว | 5'10" | หุ่นดี | เครื่องแบบศุลกากร | - | เข้มงวด, ซื่อสัตย์ | Ardinia |
