| #  | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|----|------|--------|----------|-----:|-----|--------|-------|-------|--------:|---------|----------------|-------------|-------------|----------------|
| 1  | Aldo Ferran (ละติน) | พ่อค้าขนนก | เจ้าของแผง Feather & Trade | 44 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อพ่อค้ากำมะหยี่ | - | เจ้าเล่ห์, ช่างต่อรอง | The Great Roost |
| 2  | Mei-Lin (จีน) | ผู้คุมเพาะไข่ | หัวหน้าสถานเพาะเลี้ยงรัง | 52 | หญิง | ผมห่อมวย | ดำเงา | เหลือง | 5'3" | อวบ | ชุดช่างเพาะเลี้ยง | Large | ใจเย็น, รอบรู้การเลี้ยง | The Great Roost |
| 3  | Soren Grey (ตะวันตก) | เด็กเสิร์ฟบาร์ลม | บาร์ "Windcup" | 19 | ชาย | ผมยาวประบ่า | บลอนด์ | ขาว | 5'10" | ผอม | เสื้อเสิร์ฟทอผ้าเบา | - | ร่าเริง, ว่องไว | The Great Roost |
| 4  | Hanae Ito (ญี่ปุ่น) | ช่างเชื่อมกรงบิน | ซ่อมโครงเหล็ก Sky-Perch | 33 | หญิง | ผมหางม้า | ดำเงา | เหลือง | 5'2" | ผอม | ชุดช่างป้องกัน | Small | พิถีพิถัน, ไม่ค่อยพูด | The Great Roost |
| 5  | Gregor Volkov (รัสเซีย) | คนขนส่งไข่ | หัวหน้ารถเกวียนไข่ | 47 | ชาย | เคราสั้น | เทา | ขาวซีด | 5'11" | มีกล้ามเล็กน้อย | เสื้อทนฝน, ถุงมือ | - | จริงจัง, เชื่อถือได้ | The Great Roost |
| 6  | Aeliana (กรีกแฟนตาซี) | ผู้จารึกคลังพันธุ์ | บันทึกโปสโคลนสายพันธุ์ | 61 | หญิง | ผมหยักยาว | เงิน | ขาว | 5'6" | อวบ | เสื้อห่มนักวิชาการ | Large | ใจดี, รักความถูกต้อง | The Great Roost |
| 7  | Pablo Reyes (ลาติน) | พ่อค้าของทอดจากปีก | เจ้าของรถขายปีกทอด | 36 | ชาย | ผมสั้น | ดำ | ผิวแทน | 5'8" | หุ่นดี | ผ้ากันเปื้อนครัว | - | ช่างคุย, ขยัน | The Great Roost |
| 8  | Inga Bjorn (นอร์ดิก) | ผู้ดูแลหินแขวนรัง | ตำแหน่ง Anchorkeeper | 58 | หญิง | ผมหงอกมัด | ขาวหม่น | ขาว | 4'11" | อวบ | เสื้อผ้าหนาแข็ง | Large | เคร่งครัด, มีความอดทน | The Great Roost |
| 9  | Kaito Yamada (ญี่ปุ่น) | นักปรับเสียงนก | ช่างฝึกสัญญาณเสียง | 28 | ชาย | ผมบ๊อบ | ดำ | เหลือง | 5'7" | ผอม | เสื้อช่างเสียง | - | ขี้เล่น, อดทนฝึก | The Great Roost |
| 10 | Liora Santos (ละติน) | พนักงานตลาดกลาง | คัดเลือกสินค้า Market Roost | 34 | หญิง | ผมเปียข้าง | น้ำตาลเข้ม | ขาว | 5'5" | หุ่นดี | ชุดพ่อค้าตลาด | Medium | มีไหวพริบ, ช่างสังเกต | The Great Roost |
| 11 | Nikolai Petrov (รัสเซีย) | พนักงานตรวจสุขภาพนก | เจ้าหน้าที่ควบคุมโรค | 50 | ชาย | ผมสั้นเรียบ | เทา | ขาว | 5'10" | ผอม | เสื้อแล็บคลีน | - | รอบคอบ, สุขุม | The Great Roost |
| 12 | Jun Park (เกาหลี) | คนฝึกพาหนะนำทาง | ผู้สอนนำทางทางอากาศ | 41 | ชาย | ผมมัดหลวม | ดำ | เหลือง | 5'9" | มีกล้ามเล็กน้อย | เสื้อหนังเดินทาง | - | ใจดี, ชำนาญทาง | The Great Roost |
| 13 | Cassandra Vela (กรีก/ละตินผสม) | นักบอกเล่าเรื่องรัง | ผู้เล่าเรื่อง The Roost Lore | 29 | หญิง | ผมลอนยาว | น้ำตาลทอง | ขาว | 5'6" | ผอม | เสื้อคลุมเล่านิทาน | Medium | หัวไว, ชอบเล่า | The Great Roost |
| 14 | Wei Zhang (จีน) | พ่อค้าหยกไข่ | แผงเครื่องประดับไข่หยก | 45 | ชาย | หัวเกรียน | ดำ | เหลือง | 5'8" | ผอม | เสื้อพ่อค้าหรู | - | เจรจาเก่ง, ช่างเลือก | The Great Roost |
| 15 | Orla Finn (เคลต์/ตะวันตก) | เด็กเสิร์ฟหอพักนักบิน | แผงอาหาร Guest Loft | 20 | หญิง | ผมเปียคู่ | แดงอ่อน | ขาว | 5'2" | Tiny | ชุดเสิร์ฟเรียบ | Tiny | ร่าเริง, ว่องไว | The Great Roost |
| 16 | Taras Kozlov (รัสเซีย) | ช่างทำกรงไม้ | ผลิตกรงและโครงไม้สำหรับรัง | 39 | ชาย | หนวดบาง | ดำหม่น | ขาว | 5'11" | มีกล้ามเล็กน้อย | เสื้อช่างไม้ | - | ใจเย็น, ฝีมือดี | The Great Roost |
| 17 | Akiko Nara (ญี่ปุ่น) | นักผสมยา | ผลิตยาบำรุงลูกนก | 33 | หญิง | ผมห่อมวย | ดำเงา | เหลือง | 5'3" | ผอม | เสื้อแล็บพื้นเมือง | Small | ใจดี, รอบรู้สมุนไพร | The Great Roost |
| 18 | Helios Marius (กรีก) | ผู้ดูแลโคมบิน | หัวหน้าการส่องทางอากาศ | 55 | ชาย | ผมปัดข้าง | น้ำตาลอ่อน | ขาว | 5'10" | ผอม | เสื้อช่างไฟฟ้า | - | เคร่งครัด, รับผิดชอบ | The Great Roost |
| 19 | Rosa Delgado (สเปน) | พ่อค้าลูกนกเลี้ยง | เจ้าของฟาร์มลูกนกเชื่อง | 48 | หญิง | ผมห่มมวย | น้ำตาลแดง | ผิวสองสี | 5'5" | หุ่นดี | ชุดพ่อค้า/ฟาร์ม | Large | อ่อนโยน, ใจดีต่อสัตว์ | The Great Roost |
| 20 | Ilya Moroz (รัสเซีย) | พนักงานซ่อมที่จอดอากาศ | ช่างบำรุง Sky-Dock | 37 | ชาย | ผมสั้นเรียบ | เทาเข้ม | ขาว | 5'9" | มีกล้ามเล็กน้อย | เสื้อช่างน้ำมัน | - | รอบคอบ, ขยัน | The Great Roost |
| 21 | Celeste Armand (ฝรั่งเศส/ตะวันตก) | นักออกแบบรังประดับ | ออกแบบรัง VIP | 42 | หญิง | ผมหยักบ่า | บลอนด์เงิน | ขาว | 5'7" | หุ่นดี | ชุดดีไซน์เนอร์ | Medium | สร้างสรรค์, เจ้ารสนิยม | The Great Roost |
| 22 | Hye-Jin (เกาหลี) | พนักงานบันทึกพันธุ์ | บันทึกสายพันธุ์และโลจิสติก | 30 | หญิง | ผมหางม้าเรียบ | ดำ | เหลือง | 5'4" | ผอม | เสื้อสำนักงาน | Small | ระมัดระวัง, แม่นยำ | The Great Roost |
| 23 | Marco Bellini (ละติน/อิตาลี) | เจ้าของเรือบินเล็ก | ให้เช่า Skyboats | 47 | ชาย | หนวดเล็ก | น้ำตาลเข้ม | ขาว | 5'9" | หุ่นดี | เสื้อกะลาสีอากาศ | - | ช่างคุย, มีเสน่ห์ | The Great Roost |
| 24 | Lin Mei (จีน) | คนขายชา-ขนมรัง | แผง Tea & Nest | 28 | หญิง | ผมหางม้าเตี้ย | ดำเงา | เหลือง | 5'2" | ผอม | ชุดพ่อค้าชา | Small | อ่อนโยน, บริการดี | The Great Roost |
| 25 | Olaf Gunnar (นอร์ดิก) | ผู้ควบคุมสายเคเบิล | ดูแลเครือข่ายสายแขวนรัง | 59 | ชาย | เครายาว | ขาวหม่น | ขาว | 4'10" | มีกล้ามเล็กน้อย | เสื้อช่างแข็งแรง | - | ระมัดระวัง, แข็งแรง | The Great Roost |
| 26 | Yara of the Vale (แฟนตาซี) | นักล่าขยะอากาศ | เก็บเศษ/ของมีค่าในกระแสลม | 26 | หญิง | ผมลอนฟุ้ง | ดำสนิท | ผิวแทน | 5'6" | หุ่นดี | เสื้อหนังเบา | Medium | ซุกซน, เชี่ยวชาญปีน | The Great Roost |
| 27 | Tobias Reed (อังกฤษ) | บรรณารักษ์สายเสียง | รักษาสมุดเสียงนกโบราณ | 60 | ชาย | ผมบาง | เทา | ขาว | 5'8" | ผอม | เสื้อคลุมห้องสมุด | - | เงียบขรึม, ใฝ่รู้ | The Great Roost |
| 28 | Jiahao (จีน) | พนักงานควบคุมตลาดไข่ | ตรวจมาตรฐานไข่ตลาด | 35 | ชาย | ผมปัดข้าง | ดำ | เหลือง | 5'8" | ผอม | เสื้อพนักงานตลาด | - | พิถีพิถัน, ตรงไปตรงมา | The Great Roost |
| 29 | Katarina Sokol (รัสเซีย) | ผู้ฝึกนกขนส่ง | หัวหน้าฝึกส่งของทางอากาศ | 38 | หญิง | ผมห่อมวยเรียบ | บลอนด์หม่น | ขาว | 5'5" | หุ่นดี | ชุดฝึกทนทาน | Medium | ใจเย็น, เข้มงวดฝึก | The Great Roost |
| 30 | Renji Takahashi (ญี่ปุ่น) | ช่างตีกรงทองแดง | ผลิตกรงตกแต่งราคาแพง | 34 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'7" | มีกล้ามเล็กน้อย | เสื้อช่างโลหะ | - | ประณีต, ทะเยอทะยาน | The Great Roost |
