| # | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|---|------|--------|----------|-----:|-----|--------|-------|-------|--------:|---------|----------------|-------------|-------------|---------------|
| 1 | เอลาร์เนีย วิลล์ | ช่างแกะสลักไม้เวท | หัวหน้าช่างประดับ Living Archways | 142 | หญิง | ผมยาวคลื่นไหล | เงินเงา | ขาวมุก | 5'8" | หุ่นดี | ชุดช่างไม้ประณีต | Medium | สุภาพ, พิถีพิถัน | Luminara |
| 2 | ไลอาน เทรย์ | พ่อค้าคริสตัล | เจ้าของแผง Moonpetal Bazaar | 39 | ชาย | ผมมัดต่ำ | ม่วงหม่น | ผิวขาวอมทอง | 5'10" | ผอม | เสื้อคลุมผ้ากำมะหยี่ | - | เจรจาง่าย, ขี้เก็บข้อมูล | Luminara |
| 3 | เซริน่า อาร์ด | นักดนตรีเครื่องสาย | ครูเวิร์กช็อปเครื่องดนตรีเวท | 67 | หญิง | ผมเกล้ามวยประดับดอกไม้ | บลอนด์เงิน | ขาวมุก | 5'6" | ผอม | ชุดศิลปินลื่นไหล | Small | สุภาพ, อ่อนโยน | Luminara |
| 4 | โทรัส มิน | เจ้าหน้าที่ประมูล | ผู้ประกาศ Workforce Auction Block (เอกสาร) | 51 | ชาย | หัวเกรียนมีแถบ | น้ำตาลเข้ม | ผิวแทน | 5'9" | หุ่นดี | เสื้อพิธีงานประมูล | - | เคร่งครัด, สุขุม | Luminara |
| 5 | อีรา เทียน | นักจัดวางดอกไม้ | ผู้ตกแต่ง Moonpetal Bazaar | 28 | หญิง | ผมสั้นลอนปลาย | เขียวมรกต | ขาวอมชมพู | 5'3" | ผอม | ชุดพ่อค้าศิลป์ | Small | ร่าเริง, สร้างสรรค์ | Luminara |
| 6 | ฟาลิน เดอเวน | ผู้ตรวจสัญญาบนสะพาน | เจ้าหน้าที่ Inscribed Bridge (เรื่องสัญญา) | 60 | ชาย | ผมปัดข้างเรียบ | เทาเงิน | ขาวซีด | 5'11" | ผอม | เสื้อขุนนางเล็กน้อย | - | เคร่งครัด, ซื่อสัตย์ | Luminara |
| 7 | นาเรียน ไลท์ | เจ้าของบ้านพักศิลปิน | นักจัดหาที่พักสำหรับศิลปิน | 47 | หญิง | ผมยาวถักเปียประดับแก้ว | น้ำเงินเข้ม | ขาวมุก | 5'7" | หุ่นดี | ชุดโฮสต์สวยงาม | Medium | อัธยาศัยดี, รักศิลป์ | Luminara |
| 8 | มีรา คอริน | เด็กเสิร์ฟบาร์จันทร์ | บาร์ Moonpetal Bazaar (กลางคืน) | 19 | หญิง | ผมหางม้าเตี้ย | ดำมุก | ผิวอ่อน | 5'2" | ผอม | ชุดเสิร์ฟสลับผ้าดอก | Small | กระตือรือร้น, ว่องไว | Luminara |
| 9 | ทาลิอาน โนเรล | ช่างทำเครื่องประดับเวท | เวิร์กช็อปริมคลอง | 34 | ชาย | ผมยาวสะบัด | เงินหม่น | ขาวมุก | 5'9" | ผอม | เสื้อช่างประณีต | - | สุภาพ, ละเอียดอ่อน | Luminara |
|10 | เอเลีย ซัล | ผู้คุมทะเบียนทาสบัลเลต์ | เจ้าหน้าที่ Workforce Auction Block (เอกสาร) | 42 | หญิง | ผมห่อมวยต่ำ | ดำสนิท | ผิวสีน้ำผึ้ง | 5'5" | หุ่นดี | ชุดราชการเมือง | Medium | เยือกเย็น, ระมัดระวัง | Luminara |
|11 | นาเรน วีล | พ่อค้าไม้เวท | ผู้ค้าส่งไม้เงิน | 58 | ชาย | ผมมวยหลวม | เทาเงิน | ผิวควันบุหรี่ | 6'0" | มีกล้ามเล็กน้อย | เสื้อพ่อค้าแข็งแรง | - | เงียบ, รอบรู้ทรัพยากร | Luminara |
|12 | ริฟฟา เอลโด | นักย้อมผ้าอิลฟ์ | เจ้าของแผงย้อมผ้า Moonpetal Bazaar | 31 | หญิง | ผมยาวถักจุก | บลอนด์เงิน | ขาวมุก | 5'4" | ผอม | เสื้อผ้าย้อมลวดลาย | Small | ขี้เล่น, ภูมิใจงาน | Luminara |
|13 | โซลิน เทียร์ | พนักงานดูแล Moonmirror Lake | ผู้เฝ้าริมทะเลสาบ | 72 | ชาย | ผมยาวเปีย | เงิน | ขาวมุก | 5'10" | หุ่นดี | ชุดนักบวชพิทักษ์ธรรมชาติ | - | ใจเย็น, มีปณิธาน | Luminara |
|14 | มาเรียล โครว์ | เจ้าของร้านยาสมุนไพร | ผู้ขายยาอายุวัฒนะ (ร้านเล็ก) | 45 | หญิง | ผมหยักกลางหลัง | เขียวหม่น | ผิวขาวอมทอง | 5'6" | อวบ | ชุดพ่อค้าเภสัช | Large | รักการรักษา, ใจกว้าง | Luminara |
|15 | เวร์นอล เอล | นักแก้วสี | หัวหน้าช่างกระจกสี Bazaar | 36 | ชาย | ผมสั้นด้านหลัง | แดงอ่อน | ผิวขาวมุก | 5'8" | หุ่นดี | ชุดช่างกระจก | - | สร้างสรรค์, หนักแน่น | Luminara |
|16 | เลียรา ฟอว์น | ครูสอนรำ | ผู้ฝึกนักเต้น (บางคนเป็นทาส) | 53 | หญิง | ผมบันต่ำประดับริบบิ้น | ทองแดงอ่อน | ขาวมุก | 5'5" | หุ่นดี | ชุดฝึกรำประณีต | Medium | ดุดันกับศิลป์, มีความลับ | Luminara |
|17 | คาริส เซน | เจ้าหน้าที่ออกใบรับรองสินค้าเวท | Guild of Artisans (ฝ่ายรับรอง) | 48 | ชาย | ผมปัดข้างเรียบ | เทาเงิน | ขาว | 5'9" | ผอม | เสื้อกิลด์, ตรายาง | - | ตรงไปตรงมา, เคร่งครัด | Luminara |
