| #  | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|----|------|--------|----------|-----:|-----|--------|-------|-------|--------:|---------|----------------|-------------|-------------|----------------|
| 1  | Kenjiro Saito (ญี่ปุ่น) | ผู้ดูแลประตูวิญญาณ | ผู้คุมประตู Yomi Gate | 58 | ชาย | ผมเกรียนสั้น | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | ชุดพิธีคลุมทึบ | - | เคร่งครัด, เงียบขรึม | Yomi-no-Miyako |
| 2  | Mei-Lin (จีน) | พ่อค้าธูป | เจ้าของแผง "ควันสิ้นสุด" | 46 | หญิง | ผมห่อมวยต่ำ | ดำ | เหลือง | 5'3" | หุ่นดี | ผ้าคลุมผ้าลายโบราณ | Medium | ใจดี, รอบคอบ | Yomi-no-Miyako |
| 3  | Marco Valerius (ละติน) | นายหน้าเครื่องเซ่น | คนกลางการค้าของบูชา | 41 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'10" | ผอม | เสื้อพ่อค้าวินเทจ | - | เจ้าเล่ห์, ช่างต่อรอง | Yomi-no-Miyako |
| 4  | Hanae Ito (ญี่ปุ่น) | มิโกะ (ผู้ช่วยพิธี) | มิโกะวัดกลางคืน | 21 | หญิง | เกล้ามวยมีกระดิ่ง | ดำเงา | เหลือง | 5'1" | Tiny | ชุดมิโกะประยุกต์ | Tiny | สุภาพ, ช่างแสดง | Yomi-no-Miyako |
| 5  | Dmitri Orlov (รัสเซีย) | ช่างไม้เครื่องโลง | หัวหน้าช่างโลงศพ | 53 | ชาย | เคราสั้น | เทา | ขาวซีด | 5'11" | มีกล้ามเล็กน้อย | ผ้ากันเปื้อนหนังหนา | - | ฝีมือดี, สุภาพ | Yomi-no-Miyako |
| 6  | Liora Santos (ละติน) | แม่ค้าพวงหรีด | เจ้าของแผงดอกคำเรียง | 38 | หญิง | ผมเปียข้าง | น้ำตาลเข้ม | ขาว | 5'5" | หุ่นดี | ชุดพ่อค้างานพิธี | Medium | อ่อนโยน, มีมารยาท | Yomi-no-Miyako |
| 7  | Aeliana (กรีกแฟนตาซี) | นักจารึกคำสาบาน | บันทึกคำอธิษฐานขอขมา | 64 | หญิง | ผมหยักขาว | เงิน | ขาว | 5'6" | อวบ | เสื้อห่มนักจารึก | Large | ใจคง, ละเอียด | Yomi-no-Miyako |
| 8  | Pavel Kuznetsov (รัสเซีย) | พนักงานท่าเรือ | คนขับเรือข้ามฟาก Yomi-Boat | 49 | ชาย | ผมสั้นเรียบ | เทาเข้ม | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อท่าเรือกันน้ำ | - | สุภาพ, เชื่อถือได้ | Yomi-no-Miyako |
| 9  | Sora Mizuki (ญี่ปุ่น) | เด็กเสิร์ฟชา| ร้านชาพิธี Moon-Offering | 19 | หญิง | ผมหางม้าเตี้ย | ดำ | เหลือง | 5'2" | Tiny | ชุดเสิร์ฟผ้าลินิน | Tiny | ร่าเริง, ว่องไว | Yomi-no-Miyako |
|10  | Olga Mirov (รัสเซีย) | พยาบาลจิตพิธี | คลินิกบำบัดญาติ | 44 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'4" | ผอม | ชุดพยาบาลพิธี | Medium | ใจเย็น, ปลอบโยน | Yomi-no-Miyako |
|11  | Jin Park (เกาหลี) | ผู้จัดการพิธีปลงศพ | ประสานงานพิธีศพ | 37 | ชาย | ผมมัดแกละ | ดำ | เหลือง | 5'9" | หุ่นดี | ชุดพิธีการเรียบ | - | ระมัดระวัง, จริงใจ | Yomi-no-Miyako |
|12  | Lucia Romano (อิตาลี) | ช่างทำโคมไฟวิญญาณ | ผลิตโคมแห่งความจำ | 51 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'5" | อวบ | ชุดช่างผ้าลินิน | Large | ประณีต, อ่อนโยน | Yomi-no-Miyako |
|13  | Akiko Nara (ญี่ปุ่น) | นักปรุงยาเงียบ | เตรียมยาประคองใจ | 34 | หญิง | ผมห่อมวยเรียบ | ดำเงา | เหลือง | 5'3" | ผอม | เสื้อสมุนไพรพิธี | Small | ละเอียด, ใจดี | Yomi-no-Miyako |
|14  | Elias Koris (กรีก) | บรรณารักษ์สุสาน | คลังบันทึกตระกูล | 62 | ชาย | ผมขาวม้วน | เงิน | ขาว | 5'9" | ผอม | เสื้อคลุมห้องสมุด | - | เงียบขรึม, ใฝ่รู้ | Yomi-no-Miyako |
|15  | Mei Rong (จีน) | พ่อค้าข้าวของเซ่น | แผงของเซ่นริมทาง | 43 | หญิง | ผมหางม้า | ดำเงา | เหลือง | 5'2" | ผอม | ชุดพ่อค้าแบบท้องถิ่น | Medium | กระตือรือร้น, ช่างเลือก | Yomi-no-Miyako |
|16  | Tomasz Kowalski (โปแลนด์) | ช่างขัดหินหลุมฝัง | ดูแลอนุสาวรีย์ | 56 | ชาย | ผมสั้น | เทา | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อช่างหิน | - | เงียบ, พิถีพิถัน | Yomi-no-Miyako |
|17  | Yara (แฟนตาซี) | นักช่วยเสน่ห์พิธี | จัดของตกแต่งพิธี | 29 | หญิง | ผมลอนยาว | ดำสนิท | ผิวแทน | 5'6" | หุ่นดี | ชุดศิลป์พิธี | Medium | สร้างสรรค์, รักงานละเอียด | Yomi-no-Miyako |
|18  | Rafael Ortega (สเปน) | คนกลางการขายวิญญาณ (non-combat admin) | นายหน้าขายของที่ระลึกพิธี | 39 | ชาย | หนวดบาง | ดำ | ผิวแทน | 5'9" | ผอม | เสื้อพ่อค้าเดินทาง | - | โน้มน้าว, มีเครือข่าย | Yomi-no-Miyako |
|19  | Lin Hua (จีน) | ช่างทอผ้าห่อศพ | ทอผ้าสีดำสำหรับพิธี | 47 | หญิง | ผมหางม้าเรียบ | ดำ | เหลือง | 5'3" | หุ่นดี | ผ้าทอพิธี | Medium | พิถีพิถัน, สุภาพ | Yomi-no-Miyako |
|20  | Signe O'Connell (เคลต์/ยุโรป) | นักบรรเลงพิธี | เล่นขิม-โทนให้ผู้ไว้ทุกข์ | 34 | หญิง | ผมยาวลอน | แดงอ่อน | ขาว | 5'6" | ผอม | ชุดนักดนตรีพิธี | Small | เงียบสงบ, อ่อนโยน | Yomi-no-Miyako |
|21  | Park Min-Su (เกาหลี) | คนคุมเรือเงา | ควบคุมเรือข้ามฝั่งวิญญาณ | 52 | ชาย | ผมสั้นเรียบ | ดำ | เหลือง | 5'10" | มีกล้ามเล็กน้อย | เสื้อพายเรือพิธี | - | จริงใจ, ใจกล้า | Yomi-no-Miyako |
|22  | Anya Petrova (รัสเซีย) | เจ้าหน้าที่ทะเบียนตระกูล | เก็บทะเบียนศัตรูวิญญาณ | 58 | หญิง | ผมห่อมวยสูง | บลอนด์หม่น | ขาว | 5'4" | อวบ | ชุดทะเบียนอย่างเป็นทางการ | Large | เยือกเย็น, เคร่งครัด | Yomi-no-Miyako |
|23  | Marco Bellini (อิตาลี) | พ่อค้าข้าวของดูดวง | ขายลูกปัดนำโชค | 36 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'8" | ผอม | เสื้อพ่อค้าดีไซน์ | - | ขี้เล่น, เจ้าเสน่ห์ | Yomi-no-Miyako |
|24  | Keiko Arai (ญี่ปุ่น) | เจ้าของเกสท์เฮาส์เงา | Guesthouse สำหรับญาติผู้มาไหว้ | 49 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'1" | อวบ | ชุดเจ้าของบ้าน | Large | อบอุ่น, ดูแลดี | Yomi-no-Miyako |
