| # | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|---|------|--------|----------|-----:|-----|--------|-------|-------|--------:|---------|----------------|-------------|-------------|---------------|
| 1 | Brom Ironhand | ช่างตีเหล็ก | หัวหน้าช่างตีเหล็กกิลด์ | 142 | ชาย | หนวดเคราเรียบร้อย | ดำเข้ม | ผิวหม่น | 4'5" | มีกล้ามเนื้อ | เสื้อหนังหนา, ผ้ากันเปื้อนเหล็ก | - | เคร่งครัด, ภูมิฐาน | Cogforge |
| 2 | Lucia Valerius | พ่อค้าวัสดุ | เจ้าของร้านแท่งโลหะ "Valerius Bars" | 38 | หญิง | มวยต่ำถนัด | น้ำตาลเข้ม | ขาวโทนคล้ำ | 5'5" | หุ่นดี | เสื้อค้าขนานหนัก | Medium | เจรจาดี, ระมัดระวัง | Cogforge |
| 3 | Nikos Argyris | วิศวกรไอน้ำ (engineer) | วิศวกรฝ่ายบำรุงเครื่องจักร | 46 | ชาย | ผมหวีเรียบ | เทาเงิน | ขาว | 5'10" | ผอม | เสื้อช่างวิศวกรรม, แว่นกันเปื้อน | - | ตรงไปตรงมา, มีเหตุผล | Cogforge |
| 4 | Anya Petrovna | เจ้าหน้าที่กิลด์เหมือง | ผู้ควบคุมบันทึกปริมาณแร่ | 52 | หญิง | ผมหางม้าต่ำ | บลอนด์หม่น | ขาวอมชมพู | 5'4" | อวบ | ชุดกิลด์ทางการ | Large | จริงจัง, ซื่อสัตย์ | Cogforge |
| 5 | Hiroto Kage | ช่างจักรกลอัตโนมัติ | ผู้ทดสอบ Automaton | 29 | ชาย | ผมสั้นเรียบ | ดำ | ผิวเหลืองอ่อน | 5'8" | ผอม | เสื้อช่างมีฟันเฟืองติด | - | พิถีพิถัน, อดทน | Cogforge |
| 6 | Mei Lian | ผู้จัดการคลังถ่านหิน | หัวหน้าคลังพลังงาน | 43 | หญิง | ผมยาวถักแน่น | ดำ | ผิวเหลือง | 5'3" | หุ่นดี | เสื้อแรงงานสะอาด | Medium | เข้มแข็ง, จัดการดี | Cogforge |
| 7 | Rasmus Bjorn | คนส่งพัสดุ | ผู้ขับเกวียนลำเลียงแร่ | 34 | ชาย | ผมยาวมัดหลัง | สีแทน | ผิวขาวคล้ำ | 6'0" | มีกล้ามเล็กน้อย | เสื้อคลุมกันฝุ่น | - | อดทน, สุภาพ | Cogforge |
| 8 | Valentina Cruz | พนักงานบันทึกแบบแปลน | แผนกออกแบบก่อสร้างกิลด์ | 31 | หญิง | ผมบ๊อบตรง | น้ำตาลเข้ม | ขาว | 5'6" | หุ่นดี | เสื้อผู้เขียนแบบ, ถุงเครื่องมือ | Small | ระมัดระวัง, พิถีพิถัน | Cogforge |
| 9 | Dmitri Volkov | ผู้ควบคุมประตูเมือง | ผู้ปฏิบัติการ Adamant Gate | 58 | ชาย | หัวล้านมีเครา | เทา | ผิวขาวซีด | 5'11" | หุ่นดี | ชุดปฎิบัติการประตูเหล็ก | - | จริงจัง, รักหน้าที่ | Cogforge |
